date	Keiko	PPK
19:00	16.67	12.96
19:05	18.99	9.65
19:10	13.29	11.91
19:15	14.33	12.95
19:20	9.57	14.21
19:25	11.32	17.36
19:30	14.25	17.72
19:35	12.13	18.96
19:40	12.9	17.7
19:45	13.13	19.4
19:50	14.23	14.78
19:55	8.25	18.59
20:00	10.31	13.51
20:05	14.07	15.83
20:10	14.36	12.64
20:15	14.99	21.36
20:20	11.0	18.6
20:25	14.83	14.12
20:30	13.64	16.29
20:35	7.59	12.03
20:40	12.06	13.44
20:45	14.48	15.27
20:50	12.87	13.68
20:55	15.65	14.23
21:00	17.14	19.74
